title,sentiment_score
"Rupee slips to all-time low pressured by weak yuan, importer dollar bids",-0.5859
Indian central bank seen loosening stranglehold on rupee in 2025,0.0
Курс доллара вновь резко подскочил,0.0
"India rupee seen under pressure, bonds to track US peers",-0.128
Предновогодний скачок доллара объяснили,0.0
МВД задержало организаторов Sincere Systems Group Ltd за аферы на 100 миллионов долларов,0.4019
Задержание руководителей Sincere Systems Group попало на видео,0.4019
Pepperstone joins Aston Martin stable on multi-year partnership deal,-0.1027
Dollar dominance waning – IMF data,0.0
Эксперты дали прогноз по курсу рубля на 2025 год,0.0
Miran’s Manifesto,0.0
Inside The Market Analysis Engine Of FXSentry: How Avenix Fzco's Forex Robot Regulates Forex Trades,0.25
Inside the Market Analysis Engine of FXSentry: How Avenix Fzco's Forex Robot Regulates Forex Trades,0.25
Johor trader loses RM2.1mil in forex investment scam,-0.9169
Avenix Fzco Takes On Forex Trading With New FXSpire Robot,-0.1531
Why Avenix Fzco's FXDyno Is Poised To Set New Standards In Automated Forex Trading,0.25
Forex Trading On Auto-Pilot: Avenix Fzco's FXGenix Merges Human Logic With Digital Precision,0.5859
Here’s why silver might just be your shining investment i 2025,0.5423
Two men get jail for cheating investors in S$23 million forex trading pyramid scheme,-0.4404
Курс доллара превышал 107 рублей на международном рынке,0.0
Курс доллара на Forex поднялся до 111 рублей,0.0
Avenix Fzco Rolls Out FXiBot: A Forex Robot With Multi-Indicator Strategy,-0.5719
"Japan's government 'alarmed' by recent forex moves, top officials say",0.3182
Tech Firm Avenix Fzco Refines Automated Forex Trading With New Forexigo Robot,0.3818
"Доллар на международном рынке вырос до 103,5 рублей",0.0
ไทม์ไลน์ ดีเจแมน-ใบเตย สู้คดี Forex-3D จนถึงวันศาลยกฟ้อง ปล่อยตัวจากเรือนจำ,0.0
"Доллар на Forex подскочил более чем на 7% и торгуется выше 106,5 рубля",0.0
"Bitcoin Soars to Record High Above $106K, Then Retreats as Hawkish Fed Rate Cut Looms",0.1796
Oscurati i siti che mostravano deepfake con Giorgia Meloni e Sergio Mattarella,0.0
"ЦБ установил курс доллара на 17 декабря на уровне 102,9 руб.",0.0
"Курс доллара на Forex поднялся выше 106,5 рубля",0.0
